"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 01 10:27:51 UTC 2022","Fri Apr 01 10:27:52 UTC 2022","508","","Querying","","","","cy.contains() - query DOM elements with matching content",""
"passed","Fri Apr 01 10:26:24 UTC 2022","Fri Apr 01 10:26:25 UTC 2022","365","","Cookies","","","","cy.setCookie() - set a browser cookie",""
"passed","Fri Apr 01 10:26:00 UTC 2022","Fri Apr 01 10:26:00 UTC 2022","371","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Fri Apr 01 10:27:40 UTC 2022","Fri Apr 01 10:27:40 UTC 2022","451","","Network Requests","","","","cy.request() - save response in the shared test context",""
"passed","Fri Apr 01 10:25:59 UTC 2022","Fri Apr 01 10:26:00 UTC 2022","1282","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Fri Apr 01 10:26:35 UTC 2022","Fri Apr 01 10:26:36 UTC 2022","348","","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Fri Apr 01 10:27:25 UTC 2022","Fri Apr 01 10:27:27 UTC 2022","2309","","Navigation","","","","cy.go() - go back or forward in the browser's history",""
"passed","Fri Apr 01 10:26:01 UTC 2022","Fri Apr 01 10:26:01 UTC 2022","395","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Fri Apr 01 10:25:32 UTC 2022","Fri Apr 01 10:25:33 UTC 2022","522","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Fri Apr 01 10:26:25 UTC 2022","Fri Apr 01 10:26:26 UTC 2022","530","","Cookies","","","","cy.clearCookies() - clear browser cookies",""
"passed","Fri Apr 01 10:24:59 UTC 2022","Fri Apr 01 10:25:00 UTC 2022","722","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Fri Apr 01 10:28:18 UTC 2022","Fri Apr 01 10:28:18 UTC 2022","258","","Traversal","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Fri Apr 01 10:28:21 UTC 2022","Fri Apr 01 10:28:22 UTC 2022","401","","Traversal","","","",".siblings() - get all sibling DOM elements",""
"passed","Fri Apr 01 10:26:37 UTC 2022","Fri Apr 01 10:26:37 UTC 2022","290","","Cypress.env()","","","","Get environment variables",""
"passed","Fri Apr 01 10:26:01 UTC 2022","Fri Apr 01 10:26:01 UTC 2022","406","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Fri Apr 01 10:25:19 UTC 2022","Fri Apr 01 10:25:24 UTC 2022","4910","","Actions","","","",".click() - click on a DOM element",""
"passed","Fri Apr 01 10:25:25 UTC 2022","Fri Apr 01 10:25:28 UTC 2022","2145","","Actions","","","",".check() - check a checkbox or radio element",""
